label,ards_group,offset_15m,value
bicarbonate,long stay,0.0,22.0
bicarbonate,long stay,0.25,23.0
bicarbonate,long stay,0.5,23.0
bicarbonate,long stay,0.75,22.0
bicarbonate,long stay,1.0,23.0
bicarbonate,long stay,1.25,22.0
bicarbonate,long stay,1.5,23.0
bicarbonate,long stay,1.75,22.0
bicarbonate,long stay,2.0,22.0
bicarbonate,long stay,2.25,21.0
bicarbonate,long stay,2.5,21.0
bicarbonate,long stay,2.75,22.0
bicarbonate,long stay,3.0,23.0
bicarbonate,long stay,3.25,22.0
bicarbonate,long stay,3.5,23.0
bicarbonate,long stay,3.75,22.0
bicarbonate,long stay,4.0,23.0
bicarbonate,long stay,4.25,21.0
bicarbonate,long stay,4.5,22.0
bicarbonate,long stay,4.75,23.0
bicarbonate,long stay,5.0,21.0
bicarbonate,long stay,5.25,23.5
bicarbonate,long stay,5.5,23.0
bicarbonate,long stay,5.75,23.0
bicarbonate,long stay,6.0,23.0
bicarbonate,long stay,6.25,23.0
bicarbonate,long stay,6.5,23.0
bicarbonate,long stay,6.75,23.0
bicarbonate,long stay,7.0,23.0
bicarbonate,long stay,7.25,24.0
bicarbonate,long stay,7.5,24.0
bicarbonate,long stay,7.75,23.0
bicarbonate,long stay,8.0,22.0
bicarbonate,long stay,8.25,24.0
bicarbonate,long stay,8.5,23.0
bicarbonate,long stay,8.75,24.0
bicarbonate,long stay,9.0,23.0
bicarbonate,long stay,9.25,23.0
bicarbonate,long stay,9.5,22.0
bicarbonate,long stay,9.75,24.0
bicarbonate,long stay,10.0,24.0
bicarbonate,long stay,10.25,21.0
bicarbonate,long stay,10.5,23.0
bicarbonate,long stay,10.75,23.0
bicarbonate,long stay,11.0,25.0
bicarbonate,long stay,11.25,23.0
bicarbonate,long stay,11.5,22.0
bicarbonate,long stay,11.75,24.0
bicarbonate,long stay,12.0,22.0
bicarbonate,long stay,12.25,24.0
bicarbonate,long stay,12.5,23.0
bicarbonate,long stay,12.75,23.0
bicarbonate,long stay,13.0,23.0
bicarbonate,long stay,13.25,22.5
bicarbonate,long stay,13.5,22.0
bicarbonate,long stay,13.75,23.0
bicarbonate,long stay,14.0,23.0
bicarbonate,long stay,14.25,24.0
bicarbonate,long stay,14.5,23.0
bicarbonate,long stay,14.75,23.0
bicarbonate,long stay,15.0,23.0
bicarbonate,long stay,15.25,23.0
bicarbonate,long stay,15.5,23.0
bicarbonate,long stay,15.75,24.0
bicarbonate,long stay,16.0,23.0
bicarbonate,long stay,16.25,22.0
bicarbonate,long stay,16.5,23.0
bicarbonate,long stay,16.75,25.0
bicarbonate,long stay,17.0,22.5
bicarbonate,long stay,17.25,23.0
bicarbonate,long stay,17.5,23.0
bicarbonate,long stay,17.75,22.0
bicarbonate,long stay,18.0,23.0
bicarbonate,long stay,18.25,24.0
bicarbonate,long stay,18.5,21.5
bicarbonate,long stay,18.75,24.0
bicarbonate,long stay,19.0,24.0
bicarbonate,long stay,19.25,23.0
bicarbonate,long stay,19.5,23.0
bicarbonate,long stay,19.75,24.0
bicarbonate,long stay,20.0,23.0
bicarbonate,long stay,20.25,24.0
bicarbonate,long stay,20.5,23.0
bicarbonate,long stay,20.75,24.0
bicarbonate,long stay,21.0,23.0
bicarbonate,long stay,21.25,24.0
bicarbonate,long stay,21.5,24.0
bicarbonate,long stay,21.75,23.0
bicarbonate,long stay,22.0,23.0
bicarbonate,long stay,22.25,23.0
bicarbonate,long stay,22.5,24.0
bicarbonate,long stay,22.75,24.0
bicarbonate,long stay,23.0,25.0
bicarbonate,long stay,23.25,24.0
bicarbonate,long stay,23.5,24.0
bicarbonate,long stay,23.75,24.0
bicarbonate,long stay,24.0,22.0
bicarbonate,rapid death,0.0,16.2
bicarbonate,rapid death,0.25,17.9
bicarbonate,rapid death,0.5,17.0
bicarbonate,rapid death,0.75,16.5
bicarbonate,rapid death,1.0,15.0
bicarbonate,rapid death,1.25,16.0
bicarbonate,rapid death,1.5,16.0
bicarbonate,rapid death,1.75,16.0
bicarbonate,rapid death,2.0,17.0
bicarbonate,rapid death,2.25,12.5
bicarbonate,rapid death,2.5,7.0
bicarbonate,rapid death,2.75,19.0
bicarbonate,rapid death,3.0,16.5
bicarbonate,rapid death,3.25,17.5
bicarbonate,rapid death,3.5,15.0
bicarbonate,rapid death,3.75,18.0
bicarbonate,rapid death,4.0,16.0
bicarbonate,rapid death,4.25,17.0
bicarbonate,rapid death,4.5,15.0
bicarbonate,rapid death,4.75,14.5
bicarbonate,rapid death,5.0,18.5
bicarbonate,rapid death,5.25,12.5
bicarbonate,rapid death,5.5,17.5
bicarbonate,rapid death,5.75,17.5
